Address,Sale_price,Monthly_maintenance_fee,AMI_max,No_of_bedrooms,lon,lat
"1165 Fulton Avenue, 5F, Bronx, NY 10456",79999,628,120,1,-73.9056443,40.8295051
"424 East 115th Street, 3A, New York, NY 10029",115000,750,64,0,-73.9350407,40.7947823
"333 East 209th Street, 4, Bronx, NY 10467",125000,594,120,1,-73.8743688,40.8769161
"221 East 173rd Street, 4F, Bronx, NY 10457",150000,594,120,1,-73.9088813,40.8439229
"883 East 165th Street, 2E, Bronx, NY 10459",154000,543,110,1,-73.8983088,40.8240112
"883 East 165th Street, 4F, Bronx, NY 10459",158000,542,120,1,-73.8983088,40.8240112
"3603 Broadway, 3B, New York, NY 10031",160909,899,120,1,-73.9492308,40.8287999
"1993 Amsterdam Avenue, 64, New York, NY 10032",185000,717,120,2,-73.9409648,40.8337891
"883 East 165th Street, 1G, Bronx, NY 10459",189000,697,95,2,-73.8983088,40.8240112
"56 West 119th Street, 3C, New York, NY 10026",190000,556,80,1,-73.947156,40.80323
"24 Cooper Street, 1D, New York, NY 10034",195000,869,95,1,-73.9244003,40.8676327
"526 West 158th Street, 63, New York, NY 10032",195000,950,120,2,-73.9432359,40.833945
"1993 Amsterdam Avenue, 54, New York, NY 10032",200000,717,120,2,-73.9409648,40.8337891
"3692 Broadway, 32, New York, NY 10031",209000,891,85,2,-73.9465833,40.8310472
"1993 Amsterdam Avenue, 52, New York, NY 10032",210000,717,120,3,-73.9409648,40.8337891
"767 Eastern Parkway, 4B, Brooklyn, NY 11213",215000,370,95,1,-73.9429395,40.6699448
"546 West 156th Street, 2, New York, NY 10032",219000,567,95,2,-73.9441335,40.8326989
"153 West 106th Street, 5B, New York, NY 10025",225000,732,75,2,-73.964781,40.800359
"773 Eastern Parkway, 4B, Brooklyn, NY 11213",229000,370,95,1,-73.9428018,40.6699639
"206 West 121st Street, E, New York, NY 10027",229000,750,145,1,-73.950884,40.8064847
"544 West 156th Street, 4W, New York, NY 10032",230000,385,165,2,-73.9439498,40.8327498
"17 Pennsylvania Avenue, 1B, Brooklyn, NY 11207",249000,658,105,3,-73.897001,40.677793
"206 West 121st Street, 1F, New York, NY 10027",249000,750,140,1,-73.950884,40.8064847
"1089 Bushwick Avenue, 1B, Brooklyn, NY 11221",250000,773,120,1,-73.9192262,40.6904162
"30 Macombs Place, 44, New York, NY 10039",250000,800,130,2,-73.9385768,40.8260497
"2090 Madison Avenue, 4B, New York, NY 10037",260000,743,165,2,-73.937888,40.8099935
"123 East 102nd Street, 5E, New York, NY 10029",269000,409,165,0,-73.9484502,40.7900585
"2090 Madison Avenue, 3D, New York, NY 10037",269000,900,165,2,-73.937888,40.8099935
"676 Saint Nicholas Avenue, 51, New York, NY 10030",270000,675,120,2,-73.9448664,40.8233834
"1777 Madison Avenue, 32, New York, NY 10035",275000,580,165,1,-73.9443376,40.8003865
"524 West 151st Street, 3, New York, NY 10031",275000,773,120,2,-73.9465674,40.8296155
"454 West 152nd Street, 32, New York, NY 10031",279000,921,120,3,-73.943254,40.828924
"129 East 102nd Street, 5A, New York, NY 10029",285000,440,120,1,-73.9483335,40.78987
"952 Saint Marks Avenue, C7, Brooklyn, NY 11213",290000,575,165,1,-73.9402301,40.6743897
"128 West 138th Street, 6E, New York, NY 10030",294000,426,120,1,-73.9411037,40.8165004
"678 Saint Nicholas Avenue, 32, New York, NY 10030",295000,520,120,1,-73.9448264,40.8234673
"42 West 138th Street, 66, New York, NY 10037",299000,610,120,2,-73.9374734,40.815359
"211 West 144th Street, 3B, New York, NY 10030",299000,476,120,1,-73.9403219,40.8215189
"820 Saint Nicholas Avenue, 61, New York, NY 10031",299000,470,120,2,-73.9419063,40.8282053
"660 Saint Nicholas Avenue, 41, New York, NY 10030",300000,562,110,1,-73.9451923,40.8224417
"105 East 97th Street, 14, New York, NY 10029",300000,460,165,1,-73.9512858,40.7871356
"550 Fort Washington Avenue, 4E, New York, NY 10033",309000,626,165,1,-73.9371199,40.8536041
"12 East 132nd Street, 4B, New York, NY 10037",310000,852,165,2,-73.9382868,40.8102659
"421 Crown Street, 14B, Brooklyn, NY 11225",310000,528,120,1,-73.944987,40.66622
"521 West 135th Street, 4C, New York, NY 10031",319888,506,120,2,-73.9535933,40.8197848
"660 Saint Nicholas Avenue, 44, New York, NY 10030",320000,653,95,2,-73.9451923,40.8224417
"13 West 106th Street, 4A, New York, NY 10025",320000,745,130,1,-73.9606649,40.7985063
"676 Saint Nicholas Avenue, 33, New York, NY 10030",325000,675,120,2,-73.9448664,40.8233834
"421 Crown Street, 14R, Brooklyn, NY 11225",325000,528,120,1,-73.944987,40.66622
"112 East 98th Street, 1E, New York, NY 10029",325000,580,120,1,-73.9510906,40.7874839
"5 East 131st Street, 3A, New York, NY 10037",330000,900,165,2,-73.9387797,40.810153
"330 South 3rd Street, 15, Brooklyn, NY 11211",330000,574,120,0,-73.9541349,40.70922
"352 West 48th Street, 1FE, New York, NY 10036",340000,318,40,1,-73.989333,40.7617818
"875 Morrison Avenue, 9L, Bronx, NY 10473",340000,714,145,2,-73.8740892,40.8215857
"209 West 118th Street, 2F, New York, NY 10026",350000,665,165,1,-73.9524985,40.8050658
"552 West 141st Street, 5A, New York, NY 10031",350000,784,130,3,-73.9515728,40.8233518
"208 West 119th Street, 4G, New York, NY 10026",359000,665,145,1,-73.9521589,40.8055008
"133 West 140th Street, 75, New York, NY 10030",359000,709,120,2,-73.9391738,40.8178093
"162 Lenox Avenue, 6E, New York, NY 10026",360000,339,165,1,-73.948194,40.803393
"773 Eastern Parkway, 2A, Brooklyn, NY 11213",369500,665,95,2,-73.9428018,40.6699639
"326 West 43rd Street, 3RW, New York, NY 10036",370000,555,145,0,-73.9905765,40.7583295
"455 Wilson Avenue, B4, Brooklyn, NY 11221",372000,691,102,1,-73.9123044,40.6932097
"17 West 106th Street, 4C, New York, NY 10025",375000,799,60,1,-73.9607912,40.7986496
"114 East 98th Street, 5W, New York, NY 10029",375000,580,120,1,-73.951083,40.787376
"505 West 143rd Street, 42, New York, NY 10031",379000,633,120,2,-73.9488675,40.8242596
"505 West 143rd Street, 4, New York, NY 10031",379000,633,120,1,-73.9492768,40.8244127
"12 East 132nd Street, 1A, New York, NY 10037",380000,900,165,2,-73.9382868,40.8102659
"307 West 153rd Street, 19, New York, NY 10039",380000,740,165,2,-73.9390001,40.828337
"312 West 49th Street, 5RW, New York, NY 10019",380000,480,45,1,-73.987611,40.761859
"2460 Adam C Powell Boulevard, 5, New York, NY 10030",380000,1222,120,4,-73.9403233,40.8207095
"209 West 118th Street, 4G, New York, NY 10026",399000,665,165,1,-73.9524985,40.8050658
"631 Academy Street, 5A, New York, NY 10034",399000,750,120,2,-73.9243356,40.8656603
"664 West 161st Street, 5E, New York, NY 10032",399000,624,100,2,-73.9456039,40.8374911
"79 Hamilton Place, 9, New York, NY 10031",399999,698,120,3,-73.9510314,40.8226806
"214 Bradhurst Avenue, 3, New York, NY 10039",399999,705,165,2,-73.9392723,40.8277975
"116 Cambridge Place, 3B, Brooklyn, NY 11238",400000,525,125,1,-73.9631445,40.6837918
"1901 Madison Avenue, 316, New York, NY 10035",405000,1465,120,2,-73.9415268,40.804259
"123 East 102nd Street, 4D, New York, NY 10029",409000,591,165,2,-73.9484502,40.7900585
"4 West 105th Street, 1E, New York, NY 10025",410000,804,108,1,-73.96117,40.7974212
"209 West 118th Street, 1M, New York, NY 10026",425000,866,165,2,-73.9524985,40.8050658
"128 West 138th Street, 5G, New York, NY 10030",425000,610,120,2,-73.9411037,40.8165004
"330 South 3rd Street, 4, Brooklyn, NY 11211",425000,573,120,0,-73.9541349,40.70922
"237 Eldridge Street, 21, New York, NY 10002",440000,656,193,0,-73.9898655,40.7226082
"513 West 157th Street, 2C, New York, NY 10032",449000,623,120,2,-73.9427766,40.8334172
"53 Stanton Street, 3BB, New York, NY 10002",450000,389,50,1,-73.9904178,40.7218879
"609 Columbus Avenue, 6I, New York, NY 10024",450000,676,165,1,-73.9700091,40.7887084
"3681 Broadway, 62, New York, NY 10031",457000,801,77,5,-73.9474169,40.8314514
"208 West 119th Street, 5H, New York, NY 10026",459000,665,165,1,-73.9521589,40.8055008
"130 Lenox Avenue, 623, New York, NY 10026",468000,1354,165,2,-73.949144,40.802281
"504 West 139th Street, 14, New York, NY 10031",470000,559,130,2,-73.9506376,40.8213964
"464 West 152nd Street, 54, New York, NY 10031",475000,861,165,3,-73.9435836,40.8290674
"135 West 89th Street, 3, New York, NY 10024",475000,248,120,1,-73.97239,40.789358
"341 Bedford Avenue, 15, Brooklyn, NY 11211",480000,470,120,2,-73.9623892,40.7122463
"342 East 100th Street, 2C, New York, NY 10029",485000,711,120,2,-73.9432134,40.7858559
"327 East 3rd Street, 1E, New York, NY 10009",485000,268,165,1,-73.9783978,40.7208731
"421 Crown Street, 11R, Brooklyn, NY 11225",495000,667,120,2,-73.944987,40.66622
"110 Division Avenue, 21, Brooklyn, NY 11211",495000,808,120,3,-73.9634545,40.7075275
"311 East 3rd Street, 1, New York, NY 10009",495000,400,145,2,-73.9796669,40.7214402
"135 West 115th Street, 1B, New York, NY 10026",499000,840,120,2,-73.9519989,40.8022856
"123 East 102nd Street, 2E, New York, NY 10029",499000,642,165,3,-73.9484502,40.7900585
"228 West 17th Street, 4B, New York, NY 10011",499000,631,165,1,-73.9996543,40.7408865
"610 West 136th Street, 3A, New York, NY 10031",500000,659,120,4,-73.9554301,40.8209327
"505 West 143rd Street, 24, New York, NY 10031",500000,773,120,3,-73.9492768,40.8244127
"353 West 117th Street, 2B, New York, NY 10026",505000,850,295,3,-73.9565322,40.8060545
"151 West 106th Street, 5B, New York, NY 10025",510000,732,80,2,-73.9648347,40.8002612
"173 Rivington Street, 3D, New York, NY 10002",515000,534,120,2,-73.9847789,40.7188165
"609 Columbus Avenue, 2E, New York, NY 10024",519950,848,165,1,-73.9700091,40.7887084
"29 West 119th Street, 37, New York, NY 10026",525000,750,165,2,-73.9459704,40.8032021
"133 West 140th Street, 21, New York, NY 10030",525000,985,120,4,-73.9391738,40.8178093
"90 Hamilton Place, 4A, New York, NY 10031",535000,1108,165,3,-73.9504701,40.8233072
"29 West 138th Street, 2D, New York, NY 10037",550000,855,220,2,-73.9367628,40.8151338
"609 Columbus Avenue, 8I, New York, NY 10024",550000,688,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 16I, New York, NY 10024",551337,677,165,1,-73.9700091,40.7887084
"167 Havemeyer Street, 1, Brooklyn, NY 11211",569000,871,120,2,-73.9577649,40.7109875
"609 Columbus Avenue, 16E, New York, NY 10024",574296,805,165,1,-73.9700091,40.7887084
"317 East 3rd Street, 4, New York, NY 10009",575000,410,165,0,-73.9787559,40.7211983
"327 East 3rd Street, 3E, New York, NY 10009",575000,268,145,1,-73.9783978,40.7208731
"609 Columbus Avenue, 18K, New York, NY 10024",575000,860,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 8E, New York, NY 10024",575000,800,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 18S, New York, NY 10024",575000,855,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 8F, New York, NY 10024",575000,799,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 8S, New York, NY 10024",575444,799,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 4F, New York, NY 10024",576598,794,165,1,-73.9700091,40.7887084
"609 Columbus Avenue, 4R, New York, NY 10024",576598,794,165,1,-73.9700091,40.7887084
"226 West 111st Street, 8, New York, NY 10026",595000,740,120,3,-73.9565781,40.8005857
"102 Bradhurst Avenue, 1008, New York, NY 10039",599000,1445,165,2,-73.9418044,40.8244682
"80 Saint Nicholas Avenue, 7G, New York, NY 10026",599000,833,165,3,-73.9521698,40.8015781
"54 East 129th Street, 6B, New York, NY 10035",600000,759,120,4,-73.938228,40.807789
"74 Richardson Street, 6, Brooklyn, NY 11211",600000,750,165,0,-73.9492464,40.7182939
"775 Lafayette Avenue, 4B, Brooklyn, NY 11221",614888,654,145,2,-73.9418745,40.6912661
"209 Avenue A, 2C, New York, NY 10009",619000,405,165,2,-73.981173,40.7297335
"1580 Amsterdam Avenue, 23, New York, NY 10031",649999,966,140,3,-73.9509758,40.821224
"130 Lenox Avenue, 402, New York, NY 10026",659000,1778,235,3,-73.9494559,40.8023312
"100 West 121st Street, 64, New York, NY 10027",675000,597,165,3,-73.9478167,40.8052883
"35 Mt Morris Park West, 3B, New York, NY 10027",675000,830,140,2,-73.9446611,40.8062346
"364 West 121st Street, 4A, New York, NY 10027",679000,574,165,3,-73.9556428,40.8085825
"400 Convent Avenue, 52, New York, NY 10031",685000,1023,120,3,-73.9453319,40.8261444
"609 Columbus Avenue, 18B, New York, NY 10024",691857,956,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 18L, New York, NY 10024",691857,956,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 8L, New York, NY 10024",692315,950,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 10C, New York, NY 10024",692315,950,165,2,-73.9700091,40.7887084
"609 Columbus Avenue, 4P, New York, NY 10024",693480,945,165,2,-73.9700091,40.7887084
"81 South 9th Street, 1, Brooklyn, NY, 11249",699000,964,120,2,-73.9660602,40.7091032
"229 East 14th Street, 5W, New York, NY 10003",699995,579,55,1,-73.9858654,40.7329326
"309 East Houston Street, 1A, New York, NY 10002",700000,554,193,2,-73.983485,40.7210973
"229 East 14th Street, 3E, New York, NY 10003",715000,579,54,3,-73.9858654,40.7329326
"626 East 9th Street, 2F, New York, NY 10009",775000,800,165,3,-73.9792295,40.7256636
"609 Columbus Avenue, 14T, New York, NY 10024",795000,1130,165,3,-73.9700091,40.7887084
"8 Morningside Avenue, 2N, New York, NY 10026",799000,767,120,2,-73.9579786,40.8044288
"1400 Fifth Avenue, 3G, New York, NY 10026",800000,1007,320,2,-73.9469577,40.8005472
"1831 Madison Avenue, 6M, New York, NY 10035",825000,1003,355,3,-73.9430084,40.8021443
"626 East 9th Street, 1R, New York, NY 10009",849000,800,165,2,-73.9792295,40.7256636
"1400 Fifth Avenue, 3L, New York, NY 10026",850000,1118,355,2,-73.9469577,40.8005472
"1825 Madison Avenue, 8J, New York, NY 10035",850000,2534,355,3,-73.9434676,40.8014385
"1400 Fifth Avenue, 4I, New York, NY 10026",850000,1152,355,2,-73.9469577,40.8005472
"50 West 106th Street, 11C, New York, NY 10025",850000,1097,380,2,-73.9618588,40.7985989
"2235 Frederick Douglass Boulevard, 8F, New York, NY 10027",950000,917,357,2,-73.9535703,40.807426
"175 West 83rd Street, 4S, New York, NY 10024",998000,300,165,3,-73.9759415,40.7856303
"7 Second Avenue, 3C, New York, NY 10003",1400000,0,165,0,-73.9912901,40.7240197
"223 East 4th Street, 24, New York, NY 10009",1645000,1441,165,4,-73.983144,40.72378